date,description,title,url
2019-07-26,Letters: Tim Gossling and Bob Caldwell advise checking the smallprint and question how trustworthy the movement is,Unsavoury truths about fair trade | Letters | Global development | The Guardian,http://www.theguardian.com/global-development/2019/jul/26/unsavoury-truths-about-fair-trade
2019-07-26,Proposal to replace restrictive legislation with independent media council could end closures of outlets but campaigners remain wary,Moves to improve press freedom in Malaysia met with cautious optimism | Global development | The Guardian,http://www.theguardian.com/global-development/2019/jul/26/moves-to-improve-press-freedom-in-malaysia-met-with-cautious-optimism
2019-07-26,Alia Abdulnoor’s case reveals the grim reality of human rights during the ‘year of tolerance’ in the United Arab Emirates,We should all be shamed by the shocking death of a sick woman in UAE custody | Global development | The Guardian,http://www.theguardian.com/global-development/2019/jul/26/shocking-death-sick-woman-uae-custody
