date,description,title,url
2019-07-28,Air conditioning is used to avoid greenhouse effect but cooling buildings adds to carbon emissions,Experts call for ban on glass skyscrapers to save energy in climate crisis | Environment | The Guardian,http://www.theguardian.com/environment/2019/jul/28/ban-all-glass-skscrapers-to-save-energy-in-climate-crisis
2019-07-28,Consumers are left footing the bill when a much-vaunted new technology goes wrong,Not so smart: bad meter installations leave customers in debt and in the dark | Environment | The Guardian,http://www.theguardian.com/environment/2019/jul/28/smart-meters-bad-installations-customers-in-debt-in-dark
2019-07-28,"Images of otters, pygmy shrews and owls by amateur conservationist may help turn ex-colliery into nature reserve",How an army of ‘citizen scientists’ is helping save our most elusive animals | Environment | The Guardian,http://www.theguardian.com/environment/2019/jul/28/britain-elusive-animals-fall-into-camera-trap-citizen-scientist
