date,description,title,url
2019-07-28,"The writer on Ava DuVernay’s latest TV series, why she models herself on Blanche from The Golden Girls, and what she likes to listen to in the shower",On my radar: Elaine Welteroth’s cultural highlights | Culture | The Guardian,http://www.theguardian.com/culture/2019/jul/28/on-my-radar-elaine-welteroth-cultural-highlights
2019-07-28,Those never-ending days…,Simone Lia on the sounds of summer | Culture | The Guardian,http://www.theguardian.com/culture/ng-interactive/2019/jul/28/simone-lia-on-the-sounds-of-summer
2019-07-28,"Often recalled as the lonely genius of modernism, the Irish writer was also ‘Sam’, convivial friend and collaborator, who drank with Peter O’Toole, talked cricket with Harold Pinter and ‘wailed’ at Edna O’Brien’s piano",Another side of Samuel Beckett | Culture | The Guardian,http://www.theguardian.com/culture/2019/jul/28/another-side-to-samuel-beckett-becketts-last-tapes-robert-mccrum
